"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"str_cfgmagazines_ammo_new_9x19imbalanced0","9x19mm Imbalanced Rounds","9x19mm Imbalanced Rounds","9x19mm Imbalanced Rounds","9x19mm Imbalanced Rounds","Патроны 9x19 мм Imbalanced","9x19mm Imbalanced Rounds","9x19mm Imbalanced Rounds","9x19mm Imbalanced Rounds","9x19mm Imbalanced Rounds","9x19mm Imbalanced Rounds","9x19mm Imbalanced Rounds","9x19mm Imbalanced Rounds","9x19mm Imbalanced Rounds","9x19mm Imbalanced Rounds",
"str_cfgmagazines_ammo_new_9x19imbalanced1","9x19mm Imbalanced Rounds. Used in select pistols and SMGs.","9x19mm Imbalanced Rounds. Used in select pistols and SMGs.","9x19mm Imbalanced Rounds. Used in select pistols and SMGs.","9x19mm Imbalanced Rounds. Used in select pistols and SMGs.","Пистолетный патрон 9x19 мм Imbalanced. Используется в некоторых пистолетах и ПП.","9x19mm Imbalanced Rounds. Used in select pistols and SMGs.","9x19mm Imbalanced Rounds. Used in select pistols and SMGs.","9x19mm Imbalanced Rounds. Used in select pistols and SMGs.","9x19mm Imbalanced Rounds. Used in select pistols and SMGs.","9x19mm Imbalanced Rounds. Used in select pistols and SMGs.","9x19mm Imbalanced Rounds. Used in select pistols and SMGs.","9x19mm Imbalanced Rounds. Used in select pistols and SMGs.","9x19mm Imbalanced Rounds. Used in select pistols and SMGs.","9x19mm Imbalanced Rounds. Used in select pistols and SMGs.",
"str_cfgmagazines_ammo_new_9x39sp50","9x39mm SP-5 Rounds","9x39mm SP-5 Rounds","9x39mm SP-5 Rounds","9x39mm SP-5 Rounds","Патроны 9x39 мм СП-5","9x39mm SP-5 Rounds","9x39mm SP-5 Rounds","9x39mm SP-5 Rounds","9x39mm SP-5 Rounds","9x39mm SP-5 Rounds","9x39mm SP-5 Rounds","9x39mm SP-5 Rounds","9x39mm SP-5 Rounds","9x39mm SP-5 Rounds",
"str_cfgmagazines_ammo_new_9x39sp51","9x39mm SP-5 Rounds. Used in select rifles.","9x39mm SP-5 Rounds. Used in select rifles.","9x39mm SP-5 Rounds. Used in select rifles.","9x39mm SP-5 Rounds. Used in select rifles.","Промежуточный патрон 9x39 мм СП-5. Используется в некоторых винтовках.","9x39mm SP-5 Rounds. Used in select rifles.","9x39mm SP-5 Rounds. Used in select rifles.","9x39mm SP-5 Rounds. Used in select rifles.","9x39mm SP-5 Rounds. Used in select rifles.","9x39mm SP-5 Rounds. Used in select rifles.","9x39mm SP-5 Rounds. Used in select rifles.","9x39mm SP-5 Rounds. Used in select rifles.","9x39mm SP-5 Rounds. Used in select rifles.","9x39mm SP-5 Rounds. Used in select rifles.",
"str_cfgmagazines_ammo_new_9x39sp60","9x39mm SP-6 Rounds","9x39mm SP-6 Rounds","9x39mm SP-6 Rounds","9x39mm SP-6 Rounds","Патроны 9x39 мм СП-6","9x39mm SP-6 Rounds","9x39mm SP-6 Rounds","9x39mm SP-6 Rounds","9x39mm SP-6 Rounds","9x39mm SP-6 Rounds","9x39mm SP-6 Rounds","9x39mm SP-6 Rounds","9x39mm SP-6 Rounds","9x39mm SP-6 Rounds",
"str_cfgmagazines_ammo_new_9x39sp61","9x39mm SP-6 Rounds. Used in select rifles.","9x39mm SP-6 Rounds. Used in select rifles.","9x39mm SP-6 Rounds. Used in select rifles.","9x39mm SP-6 Rounds. Used in select rifles.","Промежуточный патрон 9x39 мм СП-6. Используется в некоторых винтовках.","9x39mm SP-6 Rounds. Used in select rifles.","9x39mm SP-6 Rounds. Used in select rifles.","9x39mm SP-6 Rounds. Used in select rifles.","9x39mm SP-6 Rounds. Used in select rifles.","9x39mm SP-6 Rounds. Used in select rifles.","9x39mm SP-6 Rounds. Used in select rifles.","9x39mm SP-6 Rounds. Used in select rifles.","9x39mm SP-6 Rounds. Used in select rifles.","9x39mm SP-6 Rounds. Used in select rifles.",
"str_cfgmagazines_ammo_new_9x397h90","9x39mm 7N9 SPP Rounds","9x39mm 7N9 SPP Rounds","9x39mm 7N9 SPP Rounds","9x39mm 7N9 SPP Rounds","Патроны 9x39 мм 7Н9 СПП","9x39mm 7N9 SPP Rounds","9x39mm 7N9 SPP Rounds","9x39mm 7N9 SPP Rounds","9x39mm 7N9 SPP Rounds","9x39mm 7N9 SPP Rounds","9x39mm 7N9 SPP Rounds","9x39mm 7N9 SPP Rounds","9x39mm 7N9 SPP Rounds","9x39mm 7N9 SPP Rounds",
"str_cfgmagazines_ammo_new_9x397h91","9x39mm 7N9 SPP Rounds. Used in select rifles.","9x39mm 7N9 SPP Rounds. Used in select rifles.","9x39mm 7N9 SPP Rounds. Used in select rifles.","9x39mm 7N9 SPP Rounds. Used in select rifles.","Промежуточный патрон 9x39 мм 7Н9 СПП. Используется в некоторых винтовках.","9x39mm 7N9 SPP Rounds. Used in select rifles.","9x39mm 7N9 SPP Rounds. Used in select rifles.","9x39mm 7N9 SPP Rounds. Used in select rifles.","9x39mm 7N9 SPP Rounds. Used in select rifles.","9x39mm 7N9 SPP Rounds. Used in select rifles.","9x39mm 7N9 SPP Rounds. Used in select rifles.","9x39mm 7N9 SPP Rounds. Used in select rifles.","9x39mm 7N9 SPP Rounds. Used in select rifles.","9x39mm 7N9 SPP Rounds. Used in select rifles.",
"str_cfgmagazines_ammo_new_9x397h120","9x39mm 7N12 BP Rounds","9x39mm 7N12 BP Rounds","9x39mm 7N12 BP Rounds","9x39mm 7N12 BP Rounds","Патроны 9x39 мм 7Н12 БП","9x39mm 7N12 BP Rounds","9x39mm 7N12 BP Rounds","9x39mm 7N12 BP Rounds","9x39mm 7N12 BP Rounds","9x39mm 7N12 BP Rounds","9x39mm 7N12 BP Rounds","9x39mm 7N12 BP Rounds","9x39mm 7N12 BP Rounds","9x39mm 7N12 BP Rounds",
"str_cfgmagazines_ammo_new_9x397h121","9x39mm 7N12 BP Rounds. Used in select rifles.","9x39mm 7N12 BP Rounds. Used in select rifles.","9x39mm 7N12 BP Rounds. Used in select rifles.","9x39mm 7N12 BP Rounds. Used in select rifles.","Промежуточный патрон 9x39 мм 7Н12 БП. Используется в некоторых винтовках.","9x39mm 7N12 BP Rounds. Used in select rifles.","9x39mm 7N12 BP Rounds. Used in select rifles.","9x39mm 7N12 BP Rounds. Used in select rifles.","9x39mm 7N12 BP Rounds. Used in select rifles.","9x39mm 7N12 BP Rounds. Used in select rifles.","9x39mm 7N12 BP Rounds. Used in select rifles.","9x39mm 7N12 BP Rounds. Used in select rifles.","9x39mm 7N12 BP Rounds. Used in select rifles.","9x39mm 7N12 BP Rounds. Used in select rifles.",
"str_cfgmagazines_ammo_new_9x39imbalanced0","9x39mm Imbalanced Rounds","9x39mm Imbalanced Rounds","9x39mm Imbalanced Rounds","9x39mm Imbalanced Rounds","Патроны 9x39 мм Imbalanced","9x39mm Imbalanced Rounds","9x39mm Imbalanced Rounds","9x39mm Imbalanced Rounds","9x39mm Imbalanced Rounds","9x39mm Imbalanced Rounds","9x39mm Imbalanced Rounds","9x39mm Imbalanced Rounds","9x39mm Imbalanced Rounds","9x39mm Imbalanced Rounds",
"str_cfgmagazines_ammo_new_9x39imbalanced1","9x39mm Imbalanced Rounds. Used in select rifles.","9x39mm Imbalanced Rounds. Used in select rifles.","9x39mm Imbalanced Rounds. Used in select rifles.","9x39mm Imbalanced Rounds. Used in select rifles.","Промежуточный патрон 9x39 мм Imbalanced. Используется в некоторых винтовках.","9x39mm Imbalanced Rounds. Used in select rifles.","9x39mm Imbalanced Rounds. Used in select rifles.","9x39mm Imbalanced Rounds. Used in select rifles.","9x39mm Imbalanced Rounds. Used in select rifles.","9x39mm Imbalanced Rounds. Used in select rifles.","9x39mm Imbalanced Rounds. Used in select rifles.","9x39mm Imbalanced Rounds. Used in select rifles.","9x39mm Imbalanced Rounds. Used in select rifles.","9x39mm Imbalanced Rounds. Used in select rifles.",
"str_cfgvehicles_ammobox_new_12gabuckshot50","Boxed 12ga 5.25mm buckshot","Boxed 12ga 5.25mm buckshot","Boxed 12ga 5.25mm buckshot","Boxed 12ga 5.25mm buckshot","Коробка патронов 12 калибра с картечью 5.25мм","Boxed 12ga 5.25mm buckshot","Boxed 12ga 5.25mm buckshot","Boxed 12ga 5.25mm buckshot","Boxed 12ga 5.25mm buckshot","Boxed 12ga 5.25mm buckshot","Boxed 12ga 5.25mm buckshot","Boxed 12ga 5.25mm buckshot","Boxed 12ga 5.25mm buckshot","Boxed 12ga 5.25mm buckshot",
"str_cfgvehicles_ammobox_new_12gabuckshot51","A box of 12ga 5.25mm buckshot.","A box of 12ga 5.25mm buckshot.","A box of 12ga 5.25mm buckshot.","A box of 12ga 5.25mm buckshot.","Патроны 12 калибра с картечью 5.25мм в коробке.","A box of 12ga 5.25mm buckshot.","A box of 12ga 5.25mm buckshot.","A box of 12ga 5.25mm buckshot.","A box of 12ga 5.25mm buckshot.","A box of 12ga 5.25mm buckshot.","A box of 12ga 5.25mm buckshot.","A box of 12ga 5.25mm buckshot.","A box of 12ga 5.25mm buckshot.","A box of 12ga 5.25mm buckshot.",
"str_cfgvehicles_ammobox_new_12gaexpressbuckshot60","Boxed 12ga 6.5mm 'Express' buckshot","Boxed 12ga 6.5mm 'Express' buckshot","Boxed 12ga 6.5mm 'Express' buckshot","Boxed 12ga 6.5mm 'Express' buckshot","Коробка патронов 12 калибра с картечью 6.5мм "Экспресс"","Boxed 12ga 6.5mm 'Express' buckshot","Boxed 12ga 6.5mm 'Express' buckshot","Boxed 12ga 6.5mm 'Express' buckshot","Boxed 12ga 6.5mm 'Express' buckshot","Boxed 12ga 6.5mm 'Express' buckshot","Boxed 12ga 6.5mm 'Express' buckshot","Boxed 12ga 6.5mm 'Express' buckshot","Boxed 12ga 6.5mm 'Express' buckshot","Boxed 12ga 6.5mm 'Express' buckshot",
"str_cfgvehicles_ammobox_new_12gaexpressbuckshot61","A box of 12ga 6.5mm 'Express' buckshot.","A box of 12ga 6.5mm 'Express' buckshot.","A box of 12ga 6.5mm 'Express' buckshot.","A box of 12ga 6.5mm 'Express' buckshot.","Патроны 12 калибра с картечью 6.5мм "Экспресс" в коробке.","A box of 12ga 6.5mm 'Express' buckshot.","A box of 12ga 6.5mm 'Express' buckshot.","A box of 12ga 6.5mm 'Express' buckshot.","A box of 12ga 6.5mm 'Express' buckshot.","A box of 12ga 6.5mm 'Express' buckshot.","A box of 12ga 6.5mm 'Express' buckshot.","A box of 12ga 6.5mm 'Express' buckshot.","A box of 12ga 6.5mm 'Express' buckshot.","A box of 12ga 6.5mm 'Express' buckshot.",
"str_cfgvehicles_ammobox_new_12gabuckshot70","Boxed 12ga 7mm buckshot","Boxed 12ga 7mm buckshot","Boxed 12ga 7mm buckshot","Boxed 12ga 7mm buckshot","Коробка патронов 12 калибра с картечью 7мм","Boxed 12ga 7mm buckshot","Boxed 12ga 7mm buckshot","Boxed 12ga 7mm buckshot","Boxed 12ga 7mm buckshot","Boxed 12ga 7mm buckshot","Boxed 12ga 7mm buckshot","Boxed 12ga 7mm buckshot","Boxed 12ga 7mm buckshot","Boxed 12ga 7mm buckshot",
"str_cfgvehicles_ammobox_new_12gabuckshot71","A box of 12ga 7mm buckshot.","A box of 12ga 7mm buckshot.","A box of 12ga 7mm buckshot.","A box of 12ga 7mm buckshot.","Патроны 12 калибра с картечью 7мм в коробке.","A box of 12ga 7mm buckshot.","A box of 12ga 7mm buckshot.","A box of 12ga 7mm buckshot.","A box of 12ga 7mm buckshot.","A box of 12ga 7mm buckshot.","A box of 12ga 7mm buckshot.","A box of 12ga 7mm buckshot.","A box of 12ga 7mm buckshot.","A box of 12ga 7mm buckshot.",
"str_cfgvehicles_ammobox_new_12gamagnumbuckshot80","Boxed 12ga 8.5mm 'Magnum' buckshot","Boxed 12ga 8.5mm 'Magnum' buckshot","Boxed 12ga 8.5mm 'Magnum' buckshot","Boxed 12ga 8.5mm 'Magnum' buckshot","Коробка патронов 12 калибра с картечью 8.5мм "Магнум"","Boxed 12ga 8.5mm 'Magnum' buckshot","Boxed 12ga 8.5mm 'Magnum' buckshot","Boxed 12ga 8.5mm 'Magnum' buckshot","Boxed 12ga 8.5mm 'Magnum' buckshot","Boxed 12ga 8.5mm 'Magnum' buckshot","Boxed 12ga 8.5mm 'Magnum' buckshot","Boxed 12ga 8.5mm 'Magnum' buckshot","Boxed 12ga 8.5mm 'Magnum' buckshot","Boxed 12ga 8.5mm 'Magnum' buckshot",
"str_cfgvehicles_ammobox_new_12gamagnumbuckshot81","A box of 12ga 8.5mm 'Magnum' buckshot.","A box of 12ga 8.5mm 'Magnum' buckshot.","A box of 12ga 8.5mm 'Magnum' buckshot.","A box of 12ga 8.5mm 'Magnum' buckshot.","Патроны 12 калибра с картечью 8.5мм "Магнум" в коробке.","A box of 12ga 8.5mm 'Magnum' buckshot.","A box of 12ga 8.5mm 'Magnum' buckshot.","A box of 12ga 8.5mm 'Magnum' buckshot.","A box of 12ga 8.5mm 'Magnum' buckshot.","A box of 12ga 8.5mm 'Magnum' buckshot.","A box of 12ga 8.5mm 'Magnum' buckshot.","A box of 12ga 8.5mm 'Magnum' buckshot.","A box of 12ga 8.5mm 'Magnum' buckshot.","A box of 12ga 8.5mm 'Magnum' buckshot.",
"str_cfgvehicles_ammobox_new_12garip0","Boxed 12ga RIP","Boxed 12ga RIP","Boxed 12ga RIP","Boxed 12ga RIP","Коробка патронов 12 калибра RIP","Boxed 12ga RIP","Boxed 12ga RIP","Boxed 12ga RIP","Boxed 12ga RIP","Boxed 12ga RIP","Boxed 12ga RIP","Boxed 12ga RIP","Boxed 12ga RIP","Boxed 12ga RIP",
"str_cfgvehicles_ammobox_new_12garip1","A box of 12ga RIP.","A box of 12ga RIP.","A box of 12ga RIP.","A box of 12ga RIP.","Патроны 12 калибра RIP в коробке.","A box of 12ga RIP.","A box of 12ga RIP.","A box of 12ga RIP.","A box of 12ga RIP.","A box of 12ga RIP.","A box of 12ga RIP.","A box of 12ga RIP.","A box of 12ga RIP.","A box of 12ga RIP.",
"str_cfgvehicles_ammobox_new_12gaap200","Boxed 12ga AP-20 slug","Boxed 12ga AP-20 slug","Boxed 12ga AP-20 slug","Boxed 12ga AP-20 slug","Коробка патронов 12 калибра с бронебойной пулей "AP-20"","Boxed 12ga AP-20 slug","Boxed 12ga AP-20 slug","Boxed 12ga AP-20 slug","Boxed 12ga AP-20 slug","Boxed 12ga AP-20 slug","Boxed 12ga AP-20 slug","Boxed 12ga AP-20 slug","Boxed 12ga AP-20 slug","Boxed 12ga AP-20 slug",
"str_cfgvehicles_ammobox_new_12gaap201","A box of 12ga AP-20 slug.","A box of 12ga AP-20 slug.","A box of 12ga AP-20 slug.","A box of 12ga AP-20 slug.","Патроны 12 калибра с бронебойной пулей "AP-20" в коробке.","A box of 12ga AP-20 slug.","A box of 12ga AP-20 slug.","A box of 12ga AP-20 slug.","A box of 12ga AP-20 slug.","A box of 12ga AP-20 slug.","A box of 12ga AP-20 slug.","A box of 12ga AP-20 slug.","A box of 12ga AP-20 slug.","A box of 12ga AP-20 slug.",
"str_cfgvehicles_ammobox_new_12ga2sabot0","Boxed 12ga Dual Sabot slug","Boxed 12ga Dual Sabot slug","Boxed 12ga Dual Sabot slug","Boxed 12ga Dual Sabot slug","Коробка патронов 12 калибра с двойной пулей 2-Sabot","Boxed 12ga Dual Sabot slug","Boxed 12ga Dual Sabot slug","Boxed 12ga Dual Sabot slug","Boxed 12ga Dual Sabot slug","Boxed 12ga Dual Sabot slug","Boxed 12ga Dual Sabot slug","Boxed 12ga Dual Sabot slug","Boxed 12ga Dual Sabot slug","Boxed 12ga Dual Sabot slug",
"str_cfgvehicles_ammobox_new_12ga2sabot1","A box of 12ga Dual Sabot slug.","A box of 12ga Dual Sabot slug.","A box of 12ga Dual Sabot slug.","A box of 12ga Dual Sabot slug.","Патроны 12 калибра с двойной пулей 2-Sabot в коробке.","A box of 12ga Dual Sabot slug.","A box of 12ga Dual Sabot slug.","A box of 12ga Dual Sabot slug.","A box of 12ga Dual Sabot slug.","A box of 12ga Dual Sabot slug.","A box of 12ga Dual Sabot slug.","A box of 12ga Dual Sabot slug.","A box of 12ga Dual Sabot slug.","A box of 12ga Dual Sabot slug.",
"str_cfgvehicles_ammobox_new_12gaftxcustomlite0","Boxed 12ga FTX Custom Lite slug","Boxed 12ga FTX Custom Lite slug","Boxed 12ga FTX Custom Lite slug","Boxed 12ga FTX Custom Lite slug","Коробка патронов 12 калибра с пулей "FTX Custom LIte"","Boxed 12ga FTX Custom Lite slug","Boxed 12ga FTX Custom Lite slug","Boxed 12ga FTX Custom Lite slug","Boxed 12ga FTX Custom Lite slug","Boxed 12ga FTX Custom Lite slug","Boxed 12ga FTX Custom Lite slug","Boxed 12ga FTX Custom Lite slug","Boxed 12ga FTX Custom Lite slug","Boxed 12ga FTX Custom Lite slug",
"str_cfgvehicles_ammobox_new_12gaftxcustomlite1","A box of 12ga FTX Custom Lite slug.","A box of 12ga FTX Custom Lite slug.","A box of 12ga FTX Custom Lite slug.","A box of 12ga FTX Custom Lite slug.","Патроны 12 калибра с пулей "FTX Custom LIte" в коробке.","A box of 12ga FTX Custom Lite slug.","A box of 12ga FTX Custom Lite slug.","A box of 12ga FTX Custom Lite slug.","A box of 12ga FTX Custom Lite slug.","A box of 12ga FTX Custom Lite slug.","A box of 12ga FTX Custom Lite slug.","A box of 12ga FTX Custom Lite slug.","A box of 12ga FTX Custom Lite slug.","A box of 12ga FTX Custom Lite slug.",
"str_cfgvehicles_ammobox_new_12gagrizzly400","Boxed 12ga 'Grizzly 40' slug","Boxed 12ga 'Grizzly 40' slug","Boxed 12ga 'Grizzly 40' slug","Boxed 12ga 'Grizzly 40' slug","Коробка патронов 12 калибра с пулей "Гризли 40"","Boxed 12ga 'Grizzly 40' slug","Boxed 12ga 'Grizzly 40' slug","Boxed 12ga 'Grizzly 40' slug","Boxed 12ga 'Grizzly 40' slug","Boxed 12ga 'Grizzly 40' slug","Boxed 12ga 'Grizzly 40' slug","Boxed 12ga 'Grizzly 40' slug","Boxed 12ga 'Grizzly 40' slug","Boxed 12ga 'Grizzly 40' slug",
"str_cfgvehicles_ammobox_new_12gagrizzly401","A box of 12ga 'Grizzly 40' slug.","A box of 12ga 'Grizzly 40' slug.","A box of 12ga 'Grizzly 40' slug.","A box of 12ga 'Grizzly 40' slug.","Патроны 12 калибра с пулей "Гризли 40" в коробке.","A box of 12ga 'Grizzly 40' slug.","A box of 12ga 'Grizzly 40' slug.","A box of 12ga 'Grizzly 40' slug.","A box of 12ga 'Grizzly 40' slug.","A box of 12ga 'Grizzly 40' slug.","A box of 12ga 'Grizzly 40' slug.","A box of 12ga 'Grizzly 40' slug.","A box of 12ga 'Grizzly 40' slug.","A box of 12ga 'Grizzly 40' slug.",
"str_cfgvehicles_ammobox_new_12gapoleva30","Boxed 12ga 'Poleva-3' slug","Boxed 12ga 'Poleva-3' slug","Boxed 12ga 'Poleva-3' slug","Boxed 12ga 'Poleva-3' slug","Коробка патронов 12 калибра с пулей "Полева-3"","Boxed 12ga 'Poleva-3' slug","Boxed 12ga 'Poleva-3' slug","Boxed 12ga 'Poleva-3' slug","Boxed 12ga 'Poleva-3' slug","Boxed 12ga 'Poleva-3' slug","Boxed 12ga 'Poleva-3' slug","Boxed 12ga 'Poleva-3' slug","Boxed 12ga 'Poleva-3' slug","Boxed 12ga 'Poleva-3' slug",
"str_cfgvehicles_ammobox_new_12gapoleva31","A box of 12ga 'Poleva-3' slug.","A box of 12ga 'Poleva-3' slug.","A box of 12ga 'Poleva-3' slug.","A box of 12ga 'Poleva-3' slug.","Патроны 12 калибра с пулей "Полева-3" в коробке.","A box of 12ga 'Poleva-3' slug.","A box of 12ga 'Poleva-3' slug.","A box of 12ga 'Poleva-3' slug.","A box of 12ga 'Poleva-3' slug.","A box of 12ga 'Poleva-3' slug.","A box of 12ga 'Poleva-3' slug.","A box of 12ga 'Poleva-3' slug.","A box of 12ga 'Poleva-3' slug.","A box of 12ga 'Poleva-3' slug.",
"str_cfgvehicles_ammobox_new_12gapoleva60","Boxed 12ga 'Poleva-6u' slug","Boxed 12ga 'Poleva-6u' slug","Boxed 12ga 'Poleva-6u' slug","Boxed 12ga 'Poleva-6u' slug","Коробка патронов 12 калибра с пулей "Полева-6у"","Boxed 12ga 'Poleva-6u' slug","Boxed 12ga 'Poleva-6u' slug","Boxed 12ga 'Poleva-6u' slug","Boxed 12ga 'Poleva-6u' slug","Boxed 12ga 'Poleva-6u' slug","Boxed 12ga 'Poleva-6u' slug","Boxed 12ga 'Poleva-6u' slug","Boxed 12ga 'Poleva-6u' slug","Boxed 12ga 'Poleva-6u' slug",
"str_cfgvehicles_ammobox_new_12gapoleva61","A box of 12ga 'Poleva-6u' slug.","A box of 12ga 'Poleva-6u' slug.","A box of 12ga 'Poleva-6u' slug.","A box of 12ga 'Poleva-6u' slug.","Патроны 12 калибра с пулей "Полева-6у" в коробке.","A box of 12ga 'Poleva-6u' slug.","A box of 12ga 'Poleva-6u' slug.","A box of 12ga 'Poleva-6u' slug.","A box of 12ga 'Poleva-6u' slug.","A box of 12ga 'Poleva-6u' slug.","A box of 12ga 'Poleva-6u' slug.","A box of 12ga 'Poleva-6u' slug.","A box of 12ga 'Poleva-6u' slug.","A box of 12ga 'Poleva-6u' slug.",
"str_cfgvehicles_ammobox_new_12ga50bmg0","Boxed 12ga artisanal slug '.50 BMG'","Boxed 12ga artisanal slug '.50 BMG'","Boxed 12ga artisanal slug '.50 BMG'","Boxed 12ga artisanal slug '.50 BMG'","Коробка патронов 12 калибра с кустарной пулей ".50 BMG"","Boxed 12ga artisanal slug '.50 BMG'","Boxed 12ga artisanal slug '.50 BMG'","Boxed 12ga artisanal slug '.50 BMG'","Boxed 12ga artisanal slug '.50 BMG'","Boxed 12ga artisanal slug '.50 BMG'","Boxed 12ga artisanal slug '.50 BMG'","Boxed 12ga artisanal slug '.50 BMG'","Boxed 12ga artisanal slug '.50 BMG'","Boxed 12ga artisanal slug '.50 BMG'",
"str_cfgvehicles_ammobox_new_12ga50bmg1","A box of 12ga artisanal slug '.50 BMG'.","A box of 12ga artisanal slug '.50 BMG'.","A box of 12ga artisanal slug '.50 BMG'.","A box of 12ga artisanal slug '.50 BMG'.","Патроны 12 калибра с кустарной пулей ".50 BMG" в коробке.","A box of 12ga artisanal slug '.50 BMG'.","A box of 12ga artisanal slug '.50 BMG'.","A box of 12ga artisanal slug '.50 BMG'.","A box of 12ga artisanal slug '.50 BMG'.","A box of 12ga artisanal slug '.50 BMG'.","A box of 12ga artisanal slug '.50 BMG'.","A box of 12ga artisanal slug '.50 BMG'.","A box of 12ga artisanal slug '.50 BMG'.","A box of 12ga artisanal slug '.50 BMG'.",
"str_cfgvehicles_ammobox_new_12galead0","Boxed 12ga Lead slug","Boxed 12ga Lead slug","Boxed 12ga Lead slug","Boxed 12ga Lead slug","Коробка патронов 12 калибра с свинцовой калиберной пулей","Boxed 12ga Lead slug","Boxed 12ga Lead slug","Boxed 12ga Lead slug","Boxed 12ga Lead slug","Boxed 12ga Lead slug","Boxed 12ga Lead slug","Boxed 12ga Lead slug","Boxed 12ga Lead slug","Boxed 12ga Lead slug",
"str_cfgvehicles_ammobox_new_12galead1","A box of 12ga Lead slug.","A box of 12ga Lead slug.","A box of 12ga Lead slug.","A box of 12ga Lead slug.","Патроны 12 калибра с свинцовой калиберной пулей в коробке.","A box of 12ga Lead slug.","A box of 12ga Lead slug.","A box of 12ga Lead slug.","A box of 12ga Lead slug.","A box of 12ga Lead slug.","A box of 12ga Lead slug.","A box of 12ga Lead slug.","A box of 12ga Lead slug.","A box of 12ga Lead slug.",
"str_cfgvehicles_ammobox_new_12gaflchettes0","Boxed 12ga Flchette S","Boxed 12ga Flchette S","Boxed 12ga Flchette S","Boxed 12ga Flchette S","Коробка патронов 12 калибра флешетта S","Boxed 12ga Flchette S","Boxed 12ga Flchette S","Boxed 12ga Flchette S","Boxed 12ga Flchette S","Boxed 12ga Flchette S","Boxed 12ga Flchette S","Boxed 12ga Flchette S","Boxed 12ga Flchette S","Boxed 12ga Flchette S",
"str_cfgvehicles_ammobox_new_12gaflchettes1","A box of 12ga Flchette S.","A box of 12ga Flchette S.","A box of 12ga Flchette S.","A box of 12ga Flchette S.","Патроны 12 калибра флешетта S в коробке.","A box of 12ga Flchette S.","A box of 12ga Flchette S.","A box of 12ga Flchette S.","A box of 12ga Flchette S.","A box of 12ga Flchette S.","A box of 12ga Flchette S.","A box of 12ga Flchette S.","A box of 12ga Flchette S.","A box of 12ga Flchette S.",
"str_cfgvehicles_ammobox_new_12gasuperformance0","Boxed 12ga 'SuperFormance' expansive slug","Boxed 12ga 'SuperFormance' expansive slug","Boxed 12ga 'SuperFormance' expansive slug","Boxed 12ga 'SuperFormance' expansive slug","Коробка патронов 12 калибра с экспансивной пулей "SuperFormance"","Boxed 12ga 'SuperFormance' expansive slug","Boxed 12ga 'SuperFormance' expansive slug","Boxed 12ga 'SuperFormance' expansive slug","Boxed 12ga 'SuperFormance' expansive slug","Boxed 12ga 'SuperFormance' expansive slug","Boxed 12ga 'SuperFormance' expansive slug","Boxed 12ga 'SuperFormance' expansive slug","Boxed 12ga 'SuperFormance' expansive slug","Boxed 12ga 'SuperFormance' expansive slug",
"str_cfgvehicles_ammobox_new_12gasuperformance1","A box of 12ga 'SuperFormance' expansive slug.","A box of 12ga 'SuperFormance' expansive slug.","A box of 12ga 'SuperFormance' expansive slug.","A box of 12ga 'SuperFormance' expansive slug.","Патроны 12 калибра с экспансивной пулей "SuperFormance" в коробке.","A box of 12ga 'SuperFormance' expansive slug.","A box of 12ga 'SuperFormance' expansive slug.","A box of 12ga 'SuperFormance' expansive slug.","A box of 12ga 'SuperFormance' expansive slug.","A box of 12ga 'SuperFormance' expansive slug.","A box of 12ga 'SuperFormance' expansive slug.","A box of 12ga 'SuperFormance' expansive slug.","A box of 12ga 'SuperFormance' expansive slug.","A box of 12ga 'SuperFormance' expansive slug.",
"str_cfgvehicles_ammobox_new_12gacoppersabotpremier0","Boxed 12ga Copper Sabot Premier expansive slug","Boxed 12ga Copper Sabot Premier expansive slug","Boxed 12ga Copper Sabot Premier expansive slug","Boxed 12ga Copper Sabot Premier expansive slug","Коробка патронов 12 калибра с экспансивной пулей Copper Sabot Premier","Boxed 12ga Copper Sabot Premier expansive slug","Boxed 12ga Copper Sabot Premier expansive slug","Boxed 12ga Copper Sabot Premier expansive slug","Boxed 12ga Copper Sabot Premier expansive slug","Boxed 12ga Copper Sabot Premier expansive slug","Boxed 12ga Copper Sabot Premier expansive slug","Boxed 12ga Copper Sabot Premier expansive slug","Boxed 12ga Copper Sabot Premier expansive slug","Boxed 12ga Copper Sabot Premier expansive slug",
"str_cfgvehicles_ammobox_new_12gacoppersabotpremier1","A box of 12ga Copper Sabot Premier expansive slug.","A box of 12ga Copper Sabot Premier expansive slug.","A box of 12ga Copper Sabot Premier expansive slug.","A box of 12ga Copper Sabot Premier expansive slug.","Патроны 12 калибра с экспансивной пулей Copper Sabot Premier в коробке.","A box of 12ga Copper Sabot Premier expansive slug.","A box of 12ga Copper Sabot Premier expansive slug.","A box of 12ga Copper Sabot Premier expansive slug.","A box of 12ga Copper Sabot Premier expansive slug.","A box of 12ga Copper Sabot Premier expansive slug.","A box of 12ga Copper Sabot Premier expansive slug.","A box of 12ga Copper Sabot Premier expansive slug.","A box of 12ga Copper Sabot Premier expansive slug.","A box of 12ga Copper Sabot Premier expansive slug.",
